keyword_score,tfidf_score,semantic_score,human_score
0.6394,0.025,0.275,0.3453
0.2232,0.7365,0.6767,0.4399
0.8922,0.0869,0.4219,0.5978
0.0298,0.2186,0.5054,0.2135
0.0265,0.1988,0.6499,0.28
0.5449,0.2204,0.5893,0.5188
0.8094,0.0065,0.8058,0.7034
0.6981,0.3403,0.1555,0.358
0.9572,0.3366,0.0927,0.4784
0.0967,0.8475,0.6037,0.368
0.8071,0.7297,0.5362,0.6894
0.9731,0.3785,0.552,0.7367
0.8294,0.6185,0.8617,0.7901
0.5774,0.7046,0.0458,0.3184
0.2279,0.2894,0.0798,0.1113
0.2328,0.101,0.278,0.1506
0.6357,0.3648,0.3702,0.411
0.2095,0.267,0.9367,0.4762
0.648,0.6091,0.1711,0.4076
0.7291,0.1634,0.3795,0.4221
0.9895,0.64,0.5569,0.7979
0.6846,0.8429,0.776,0.7483
0.229,0.0321,0.3155,0.1434
0.2677,0.211,0.9429,0.4817
0.8764,0.3147,0.6554,0.7331
0.3956,0.9145,0.4589,0.4891
0.2649,0.2466,0.5614,0.3496
0.2627,0.5846,0.8978,0.5171
0.3994,0.2193,0.9975,0.5956
0.5095,0.0909,0.0471,0.209
0.1096,0.6274,0.7921,0.4384
0.4222,0.0635,0.3816,0.2834
0.9961,0.5291,0.9711,0.9487
0.8608,0.0115,0.7207,0.7033
0.6817,0.537,0.2668,0.4299
0.641,0.1116,0.4348,0.4915
0.4537,0.9538,0.8759,0.6897
0.2634,0.5006,0.1787,0.1941
0.9126,0.8705,0.2984,0.6258
0.6389,0.609,0.1528,0.3874
0.7625,0.5394,0.7786,0.7429
0.5304,0.0006,0.3242,0.2806
0.0195,0.9291,0.8787,0.4458
0.8317,0.3075,0.0579,0.3938
0.878,0.9469,0.0857,0.5142
0.486,0.0692,0.7606,0.5089
0.7658,0.1284,0.4753,0.5526
0.5498,0.2651,0.8724,0.6111
0.4231,0.2118,0.5393,0.4375
0.7299,0.2012,0.3117,0.4188
0.9951,0.6499,0.4381,0.7432
0.5176,0.121,0.2247,0.264
0.3381,0.5883,0.2301,0.2485
0.2202,0.071,0.6311,0.3591
0.2289,0.9054,0.8596,0.557
0.0709,0.238,0.669,0.3097
0.2142,0.1323,0.9355,0.4412
0.571,0.4727,0.7846,0.6402
0.8075,0.1904,0.0969,0.3728
0.4311,0.4236,0.467,0.4377
0.7291,0.6734,0.9842,0.8296
0.0984,0.4026,0.3393,0.1539
0.8617,0.2487,0.1902,0.457
0.4486,0.4219,0.2785,0.3124
0.2498,0.9233,0.4431,0.4322
0.8613,0.5503,0.0506,0.4619
0.9993,0.836,0.969,0.9834
0.9264,0.8487,0.1663,0.55
0.4856,0.2137,0.401,0.4078
0.0586,0.379,0.9853,0.4217
0.2652,0.7841,0.455,0.3979
0.423,0.9573,0.9954,0.7212
0.5558,0.7184,0.1548,0.3749
0.2967,0.9687,0.5792,0.489
0.5422,0.748,0.0572,0.3295
0.5842,0.5029,0.8527,0.6618
0.1574,0.9608,0.0801,0.1874
0.1858,0.595,0.6752,0.4168
0.2352,0.1199,0.8903,0.4378
0.2462,0.5945,0.6194,0.4189
0.4192,0.5837,0.5228,0.4826
0.9347,0.2043,0.7162,0.7392
0.2387,0.3958,0.6717,0.4172
0.3,0.3162,0.7519,0.4765
0.0725,0.4583,0.9985,0.4504
0.9961,0.0733,0.2132,0.4924
0.2652,0.9333,0.8809,0.6008
0.8793,0.3695,0.1577,0.4707
0.8337,0.7035,0.6117,0.7201
0.9872,0.654,0.0078,0.4963
0.8171,0.2994,0.6634,0.67
0.9389,0.1343,0.1154,0.4551
0.107,0.5532,0.2723,0.1635
0.6048,0.7176,0.2036,0.3982
0.6342,0.264,0.4885,0.5102
